Card name,Set code,Set name,Card number,Foil,rarity,quantity,Scryfall ID
Sanadora compasiva,tla,Avatar: The Last Airbender,,non foil,common,1,5bc01bb5-705c-4511-9ade-55f7cf4a24cc
Saquear la Foresta de los Trolls,hob,The Hobbit,,non foil,common,1,e38b4c6f-ecfa-4163-8d26-9e3fa9da1b47
Se cuecen problemas,hob,The Hobbit,,non foil,common,1,6faefeb7-c270-4467-8bdb-f9aa946650c6
"Smaug, the Great Calamity",hob,The Hobbit,109,non foil,common,2,419ca9e5-8413-4378-a4ef-eda5a1024218
Snowslope Hunter,hob,The Hobbit,112,foil,uncommon,1,47666099-ffb2-4d07-a801-70524dba0837
Stir Up Trouble,hob,The Hobbit,84,non foil,common,2,fd145e3a-c889-4390-accb-863dbcc845ce
Stony-Voiced Goblins,hob,The Hobbit,85,non foil,common,5,6fcc3699-b475-4612-884d-81bd4f21e9c1
Surge de la sombra,tla,Avatar: The Last Airbender,,non foil,uncommon,1,077a8c5a-a47f-488d-b9a2-a95d45c3e99f
Tácticas de los huargos,hob,The Hobbit,,foil,common,1,82eb4730-2b3d-4f7c-922c-19bfaff8d9aa
Tácticas de los huargos,hob,The Hobbit,,non foil,common,3,82eb4730-2b3d-4f7c-922c-19bfaff8d9aa
The Lord of Pain,dsc,Duskmourn: House of Horror Commander,3,non foil,mythic,1,494c244e-dcdc-4169-9743-8a61f58e8763
Thorin Oakenshield,hob,The Hobbit,165,non foil,uncommon,1,c7e18609-d1ed-4829-be11-f2ce2cfcbc49
Thorin Oakenshield,hob,The Hobbit,202,non foil,uncommon,1,b6d8d14d-4713-40ea-9509-81ce68b2184d
"Thorin, Mountain-king",hob,The Hobbit,114,non foil,mythic,1,117347af-0dd7-4350-901d-8c8a81387e22
Thorin's Last Stand,hob,The Hobbit,28,non foil,common,2,127367b6-9cfe-4516-9bfd-5b951468a25c
"Thranduil, señor del sindarin",hob,The Hobbit,,non foil,uncommon,1,45a3caba-1c9d-4a64-8aaf-d2dd897fbea9
"Thranduil, Sindarin Liege",hob,The Hobbit,166,non foil,uncommon,1,481870ee-d1f7-421b-86e1-570ea933bbbc
Thranduil's Company,hob,The Hobbit,168,non foil,rare,2,abdb9d4e-e6ca-409b-b589-0cf71724340b
Thranduil's Decree,hob,The Hobbit,56,non foil,uncommon,1,e4ded4c1-0e3e-47c5-8fdc-e7c187f68b12
Thrór's Map,hob,The Hobbit,179,non foil,uncommon,1,ad0dba36-d056-4bc1-987a-391da26ad267
Tidings of War,hob,The Hobbit,115,non foil,common,3,38c16a0a-375e-48cb-9720-dbbc08c603ae
"Tom, Bert, and William",hob,The Hobbit,169,non foil,rare,1,211a9764-3c60-46ba-bb53-e6692640ec8f
Tormenta de los maestros de la arena,tla,Avatar: The Last Airbender,,non foil,common,1,bf46cc1d-0acd-4940-9651-bcfad301d31b
Trabajo honrado,tla,Avatar: The Last Airbender,,non foil,uncommon,1,ec960903-847a-4a14-9205-ee7ddad89cf6
Trasgo enorme y feo,hob,The Hobbit,,non foil,uncommon,1,1fa2fa31-8c20-42b0-b5a3-afef90f71a80
Trasgos con voces pétreas,hob,The Hobbit,,non foil,common,1,6131bb69-7af4-445f-aee7-5050ee5ce0ac
Troll Negotiations,hob,The Hobbit,138,non foil,uncommon,1,ca0f7bf4-b8a2-4ec4-ad7e-b639de9fa76a
Troop of Ponies,hob,The Hobbit,199,non foil,uncommon,1,6cbcd606-b864-4b81-9596-e7788befdd1f
Tropa de Esgaroth,hob,The Hobbit,,non foil,common,1,89fab890-ea72-412d-a047-595e4e7c2192
Túnel secreto,tla,Avatar: The Last Airbender,,non foil,rare,1,d2cb19b5-6765-43c2-a364-597e1606a409
Uneasy Partings,hob,The Hobbit,58,non foil,common,1,e49866d4-966a-40f9-b08d-18e5af6d726b
Velvetwing Butterflies,hob,The Hobbit,30,non foil,common,2,5cc0f994-5048-4898-926e-b56cbc97e0ca
Venenosa,hob,The Hobbit,,non foil,common,1,0472a63f-4414-4817-9bd3-54fd0d2e8c4f
Viejo zorzal,hob,The Hobbit,,non foil,common,1,5a041fe0-dc21-4eb4-b043-b4c201d85b19
Vigía de la Ciudad del Lago,hob,The Hobbit,,non foil,common,1,e8688f06-4678-4bfe-9b9d-c50ad48e1819
Vigías sobre la muralla,tla,Avatar: The Last Airbender,,non foil,common,1,30a3bc68-e019-4753-996a-cc0f3b1bfbc6
Voladora novata,tla,Avatar: The Last Airbender,,non foil,common,1,b3e5dbcd-245a-4a95-b064-2b70c89d1c0f
Vow to Erebor,hob,The Hobbit,31,non foil,common,2,8d4f3eb5-fedf-45d6-8bd8-aacbe0ce33b2
Warg Tactics,hob,The Hobbit,139,non foil,common,1,b06d9cee-bb0f-4fe7-ab2a-b55d36461aec
Wargling,hob,The Hobbit,140,non foil,common,2,1ccbf823-846f-4f09-9c67-1deebb5d1d92
Wizard's Staff,hob,The Hobbit,59,non foil,rare,1,0de529a7-bdc5-4581-a169-1ad123bc099a
Wood Elves,hob,The Hobbit,142,non foil,common,1,2476e42b-b209-4207-8ed9-cb668f89b218
"Zhao, almirante despiadado",tla,Avatar: The Last Airbender,,non foil,uncommon,1,7475b151-0025-4e7f-ab72-352722b494c2
